"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Hell yeah","5 May 2025, 16:27","5 May 2025, 17:39","","Wrist Roller",,"",0,"normal",7.5,13,,,
"Hell yeah","5 May 2025, 16:27","5 May 2025, 17:39","","Wrist Roller",,"",1,"normal",7.5,12,,,
"Hell yeah","5 May 2025, 16:27","5 May 2025, 17:39","","Dumbbell Row",,"",0,"normal",26,24,,,
"Hell yeah","5 May 2025, 16:27","5 May 2025, 17:39","","Dumbbell Row",,"",1,"normal",30,36,,,
"Hell yeah","5 May 2025, 16:27","5 May 2025, 17:39","","Dumbbell Row",,"",2,"normal",30,36,,,
"Afternoon workout 💪","2 May 2025, 14:50","2 May 2025, 15:51","","HIIT",,"",0,"normal",,,,1260,
"Afternoon workout 💪","2 May 2025, 14:50","2 May 2025, 15:51","","Skullcrusher (Dumbbell)",,"",0,"normal",16,10,,,
"Afternoon workout 💪","2 May 2025, 14:50","2 May 2025, 15:51","","Skullcrusher (Dumbbell)",,"",1,"normal",14,12,,,
"Afternoon workout 💪","2 May 2025, 14:50","2 May 2025, 15:51","","Skullcrusher (Dumbbell)",,"",2,"normal",14,12,,,
"Afternoon workout 💪","2 May 2025, 14:50","2 May 2025, 15:51","","Concentration Curl",,"",0,"normal",18,9,,,
"Afternoon workout 💪","2 May 2025, 14:50","2 May 2025, 15:51","","Concentration Curl",,"",1,"normal",18,9,,,
"Afternoon workout 💪","2 May 2025, 14:50","2 May 2025, 15:51","","Concentration Curl",,"",2,"normal",20,9,,,
"Afternoon workout 💪","2 May 2025, 14:50","2 May 2025, 15:51","","Shoulder Press (Dumbbell)",,"",0,"normal",24,12,,,
"Afternoon workout 💪","2 May 2025, 14:50","2 May 2025, 15:51","","Shoulder Press (Dumbbell)",,"",1,"normal",24,11,,,
"Afternoon workout 💪","2 May 2025, 14:50","2 May 2025, 15:51","","Shoulder Press (Dumbbell)",,"",2,"normal",24,10,,,
"Afternoon workout 💪","30 Apr 2025, 16:55","30 Apr 2025, 17:50","","HIIT",,"",0,"normal",,,,1260,
"Afternoon workout 💪","30 Apr 2025, 16:55","30 Apr 2025, 17:50","","Lateral Prayers",,"",0,"normal",55,14,,,
"Afternoon workout 💪","30 Apr 2025, 16:55","30 Apr 2025, 17:50","","Lateral Prayers",,"",1,"normal",65,12,,,
"Afternoon workout 💪","30 Apr 2025, 16:55","30 Apr 2025, 17:50","","Lateral Prayers",,"",2,"normal",65,8,,,
